Date,f2_score,ks_decile,conv_abn_detected,recall_score
2021-11-01,0.543,2,0,0.586
2021-11-02,0.544,2,0,0.589
2021-11-03,0.554,2,0,0.6
2021-11-04,0.553,2,0,0.6
2021-11-05,0.558,2,0,0.608
2021-11-06,0.56,2,0,0.612
2021-11-07,0.56,2,0,0.613
2021-11-08,0.561,2,0,0.617
2021-11-09,0.564,2,0,0.623
2021-11-10,0.568,2,0,0.629
2021-11-11,0.566,2,0,0.626
2021-11-12,0.567,2,0,0.631
2021-11-13,0.563,2,0,0.631
2021-11-14,0.572,2,0,0.644
2021-11-15,0.573,2,0,0.645
2021-11-16,0.578,2,0,0.652
2021-11-17,0.583,2,0,0.664
2021-11-18,0.578,2,0,0.661
2021-11-19,0.582,2,0,0.672
2021-11-20,0.585,2,0,0.666
2021-11-21,0.585,2,0,0.667
2021-11-22,0.584,2,0,0.663
2021-11-23,0.58,2,0,0.657
2021-11-24,0.591,2,0,0.672
2021-11-27,0.571,2,0,0.643
2021-11-28,0.561,2,0,0.636
2021-11-29,0.552,2,0,0.623
2021-11-30,0.556,1,0,0.631
2021-12-01,0.546,1,0,0.617
2021-12-02,0.522,1,0,0.6
2021-12-03,0.540,1,0,0.611
2021-12-04,0.524,1,0,0.607
2021-12-05,0.526,1,0,0.621
